Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
391219,9-Aug-15,Michigan,Detroit,15200 block of Hazelridge,1,3,N/A
391263,9-Aug-15,Mississippi,Forest,Poplar Street,1,3,N/A
392131,10-Aug-15,California,Long Beach,1700 block of East 10th Street,0,4,N/A
395549,15-Aug-15,South Carolina,Orangeburg,2868 Bamberg Road,1,3,N/A
395694,15-Aug-15,California,Los Angeles,57th Street and South Normandie Avenue,0,4,N/A
395718,16-Aug-15,South Carolina,Bennettsville,Highway 38N,0,5,N/A
395757,16-Aug-15,Illinois,Chicago,5400 block of West Division Street,0,4,N/A
395837,15-Aug-15,Pennsylvania,Pittsburgh,West Prospect Avenue,1,3,N/A
395844,16-Aug-15,Texas,Fort Worth,3651 Sycamore School Rd,0,6,N/A
398361,19-Aug-15,New York,Rochester,500 Genesee St,3,4,N/A
398975,20-Aug-15,Texas,Grulla (La Grulla),FM 2360,2,2,N/A
399212,21-Aug-15,North Carolina,Durham,2700 block of Hinson Drive,0,8,N/A
399367,21-Aug-15,Ohio,Cincinnati,Mathis and Prentice,2,5,N/A
399564,22-Aug-15,New Mexico,Roswell,302 East Reed Street,3,1,N/A
399883,22-Aug-15,Florida,Orlando (Pine Hills),State Road 408,0,4,N/A
400091,23-Aug-15,California,Modesto,1100 block of Kansas Avenue,1,7,N/A
401742,2-Aug-15,Illinois,Chicago,6700 block of South Winchester Avenue,0,4,N/A
401884,26-Aug-15,Minnesota,Minneapolis (Brooklyn Center),5000 block of Drew Avenue North,0,4,N/A
402051,26-Aug-15,Florida,West Palm Beach,800 block of 19th Street,2,2,N/A
402108,25-Aug-15,Louisiana,New Orleans,Fern Street and Olive Street,1,3,N/A
402113,26-Aug-15,Illinois,Chicago,3025 W. Van Buren Ave,2,2,N/A
403069,28-Aug-15,New York,Brooklyn,589 Flatbush Avenue,1,3,N/A
403669,27-Aug-15,California,Salinas,928 Blanco Circle,2,2,N/A
404167,30-Aug-15,Tennessee,Memphis,3300 block of Sobota Circle,1,4,N/A
404238,29-Aug-15,Tennessee,Bristol,618 Henson Road,3,2,N/A
405133,29-Aug-15,Texas,Tyler,638 ENE Loop 323,1,3,N/A
408256,5-Sep-15,Missouri,Columbia,1509 Ashley Street,0,4,N/A
408276,5-Sep-15,Florida,Daytona Beach,300 block of Pearl Street,0,4,N/A
408449,5-Sep-15,North Carolina,Charlotte,6800 block of Fieldvale Place,1,3,N/A
409101,5-Sep-15,Nevada,Las Vegas,5000 block of Hollywood Boulevard,1,3,N/A
409601,7-Sep-15,Colorado,Denver,1909 Blake Street,0,4,N/A
409732,7-Sep-15,Indiana,Gary,9300 block of Sunrise,2,4,N/A
409856,8-Sep-15,Illinois,Chicago,56th and Green,0,4,N/A
411888,8-Sep-15,Georgia,Berlin,N/A,0,4,N/A
412040,10-Sep-15,Minnesota,Excelsior (Greenwood),Channel Drive,5,0,N/A
412487,12-Sep-15,New York,Rochester,36 Woodward Street,2,4,N/A
412529,12-Sep-15,Minnesota,Minneapolis,1st Ave. and N. 5th St.,0,6,N/A
412539,12-Sep-15,Minnesota,Minneapolis,1200 block of 22nd Ave. N.,1,3,N/A
412557,11-Sep-15,North Carolina,Charlotte,1000 North Carolina Music Factory Blvd.,0,5,N/A
412996,12-Sep-15,Louisiana,Shreveport,1500 block of Clanton Street,0,4,N/A
413001,13-Sep-15,Florida,Ocala,1910 South Pine Avenue,1,5,N/A
414580,15-Sep-15,New Jersey,Newark,Irvine Turner Boulevard and West Kinney Street,0,4,N/A
415687,17-Sep-15,Michigan,Albion,500 block of W. Broadwell Street,0,4,N/A
416812,19-Sep-15,Indiana,Indianapolis,3900 block of Graceland Avenue,1,3,N/A
416872,20-Sep-15,Illinois,Chicago,5700 block of South LaSalle,1,5,N/A
417013,20-Sep-15,Oklahoma,Tulsa,Pine and Yale,0,6,N/A
417284,20-Sep-15,Pennsylvania,Philadelphia,900 block of Pratt Street,1,3,N/A
418318,17-Sep-15,South Dakota,Geddes,36705 379th Street,6,0,N/A
418964,23-Sep-15,Florida,Fort Myers,Dale Street and Veronica S. Shoemaker Boulevard,0,4,N/A
419250,23-Sep-15,Louisiana,Shreveport,2900 block of Peach Street,0,5,N/A
419718,24-Sep-15,Illinois,Chicago,5100 block of South Morgan Street,0,5,N/A
419826,23-Sep-15,Georgia,Norcross,1300 block of Reddington Lane,1,3,N/A
420855,27-Sep-15,Missouri,Kansas City,1700 E. 18th St.,0,4,N/A
421014,27-Sep-15,Georgia,Greenville,1140 Hill Haven Road,0,10,N/A
421358,27-Sep-15,Illinois,Chicago,5200 block of South Justine,0,4,N/A
421650,28-Sep-15,Ohio,Cincinnati (Evanston),1800 block of Hewitt Avenue,0,5,N/A
422020,28-Sep-15,Ohio,Dayton,1921 Oakridge,0,4,N/A
422035,28-Sep-15,Illinois,Chicago,5300 block of South Aberdeen Street,2,3,N/A
422064,28-Sep-15,Illinois,Chicago,300 block of West 42nd Street,3,2,N/A
423223,1-Oct-15,Oregon,Roseburg,1140 Umpqua College Rd,10,9,N/A
424224,2-Oct-15,Maryland,Baltimore,5400 Reisterstown Road,1,4,N/A
426256,6-Oct-15,Maryland,Baltimore,300 block of North Payson Street,0,5,N/A
426559,25-Sep-15,Illinois,Danville,1300 block of May Street,0,4,N/A
427621,9-Oct-15,Arizona,Flagstaff,216 E Mountain View Dr,1,3,N/A
428215,10-Oct-15,Tennessee,Memphis,6135 Mount Moriah Road,0,6,N/A
428247,10-Oct-15,North Carolina,Charlotte,1900 block of West Boulevard,0,4,N/A
429410,12-Oct-15,Georgia,Decatur,4731 Glenwood Road,0,4,N/A
