Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured,TotalVictim,Month/Year,Year
468968,20-12-2015,North Carolina,Wilmington,11th and Castle Street,1,4,5,201512,2015
468787,20-12-2015,Florida,Miami (Goulds),21630 Southwest 120th Avenue,1,4,5,201512,2015
460386,6-12-2015,Nebraska,Omaha,North 108th Street and Military Road,2,3,5,201512,2015
456893,2-12-2015,California,San Bernardino,1365 South Waterman Avenue,16,19,35,201512,2015
50379,8-01-2016,Illinois,Chicago,1500 block of South Kedzie,1,4,5,201601,2016
50377,11-01-2016,Delaware,Wilmington,900 block of Brown Street,1,4,5,201601,2016
50371,30-01-2016,Arizona,Glendale,67th and Missouri Avenue,3,5,8,201601,2016
50372,27-01-2016,Virginia,Chesapeake,1401 N. George Washington Hwy,6,0,6,201601,2016
50373,26-01-2016,Washington,Seattle,Airport Way S. and S. Atlantic St.,2,3,5,201601,2016
50374,25-01-2016,California,Perris,140 S. D Street,1,4,5,201601,2016
50365,7-02-2016,New York,Rochester,547 State St,1,7,8,201602,2016
50344,28-02-2016,Michigan,Detroit,8800 block of Livernois,0,5,5,201602,2016
50347,26-02-2016,Washington,Belfair,300 block of Horseshoe Rd.,5,0,5,201602,2016
50348,25-02-2016,Kansas,Hesston,200 S Ridge Rd,4,14,18,201602,2016
50369,6-02-2016,Florida,Tampa,8123 N Nebraska Ave,2,6,8,201602,2016
50351,21-02-2016,Texas,Houston,5100 block of Idaho Street,0,5,5,201602,2016
50357,20-02-2016,Mississippi,Iuka,231 Co Rd 201,2,3,5,201602,2016
50361,2014-02-2016,Alabama,Eutaw (Union),Earnest Friday Road,0,5,5,201602,2016
50363,7-02-2016,Mississippi,Pass Christian,Davis Avenue,2,4,6,201602,2016
50364,7-02-2016,Florida,Orlando,7432 Universal Blvd,2,10,12,201602,2016
50349,23-02-2016,Arizona,Glendale,4812 West Sunnyside Ave,5,0,5,201602,2016
50354,20-02-2016,Michigan,Kalamazoo,5581 Cracker Barrel Blvd,6,2,8,201602,2016
50335,9-03-2016,Pennsylvania,Pittsburgh,1304 Franklin Ave,5,3,8,201603,2016
50334,11-03-2016,New Jersey,Trenton,Oliver Avenue,0,5,5,201603,2016
50329,2015-03-2016,Georgia,Atlanta,Donald Lee Hollowell Drive,0,5,5,201603,2016
50327,2019-03-2016,Florida,Plantation,12050 NW 4th Court,1,4,5,201603,2016
50341,6-03-2016,California,Compton,900 block of West Victoria Street,1,8,9,201603,2016
50339,6-03-2016,Massachusetts,Chelsea,120 Washington Avenue,1,6,7,201603,2016
50338,7-03-2016,Kansas,Kansas City,3000 block of South 36th Street,5,0,5,201603,2016
50336,8-03-2016,Texas,San Antonio,Sherman St,2,3,5,201603,2016
50291,29-04-2016,California,Oakland,3200 block of San Pablo Avenue,0,5,5,201604,2016
50294,26-04-2016,Maryland,District Heights (Forestville),6500 block of Hil-Mar Drive,1,4,5,201604,2016
50296,25-04-2016,Florida,Miami,1506 Northwest 70th Street,0,5,5,201604,2016
50297,24-04-2016,Virginia,Halifax,1055 L P Bailey Memorial Hwy,0,5,5,201604,2016
50298,24-04-2016,Illinois,Chicago (Englewood),2000 block of West 68th Place,2,3,5,201604,2016
50304,22-04-2016,Ohio,Piketon,4077 Union Hill Rd,8,0,8,201604,2016
50307,2019-04-2016,Alabama,Blountsville,81551 US Highway 278,1,4,5,201604,2016
50309,2019-04-2016,Illinois,Chicago,1400 block of West 84th Street,1,4,5,201604,2016
50313,2017-04-2016,Texas,Edinburg,5021 W St Hwy 107,1,6,7,201604,2016
50314,2016-04-2016,Michigan,Detroit,9500 block of Oakland,1,4,5,201604,2016
50315,2016-04-2016,Florida,Orlando,1100 block of Conley Street,2,4,6,201604,2016
50303,23-04-2016,Kansas,Topeka,3732 SW Topeka Blvd,1,4,5,201604,2016
50305,22-04-2016,Georgia,Appling,3162 Johnson Drive,6,0,6,201604,2016
50268,29-05-2016,Texas,Houston,13210 Memorial Dr,2,6,8,201605,2016
50263,30-05-2016,Maryland,Baltimore,500 block of East 43rd Street,0,5,5,201605,2016
50264,30-05-2016,California,Sacramento,3900 block of 44th,0,5,5,201605,2016
50266,29-05-2016,New Jersey,Trenton,600 block of Martin Luther King Jr. Boulevard,0,6,6,201605,2016
50269,23-05-2016,New Jersey,Newark,102 Isabella Avenue,0,5,5,201605,2016
50278,2014-05-2016,Georgia,Atlanta,Cordova and Peoples Street,0,5,5,201605,2016
50289,1-05-2016,Tennessee,Murfreesboro,1955 Old Castle Drive,0,5,5,201605,2016
50288,4-05-2016,Minnesota,Minneapolis,16th Avenue North and Newton Avenue North,1,7,8,201605,2016
50286,5-05-2016,Louisiana,Shreveport,300 block of North Thomas Drive,2,6,8,201605,2016
50285,6-05-2016,Maryland,Bethesda,7101 Democracy Blvd,3,3,6,201605,2016
50276,2015-05-2016,Georgia,Moultrie,Rossman Dairy Road,5,0,5,201605,2016
50281,11-05-2016,Illinois,Chicago,7100 block of South State Street,0,5,5,201605,2016
50280,11-05-2016,Alabama,Birmingham,1400 block of 21st St N,1,4,5,201605,2016
50283,6-05-2016,Michigan,Detroit,12300 block of Gratiot,1,4,5,201605,2016
50247,11-06-2016,New Mexico,Roswell,2300 block of Davis Ave,5,0,5,201606,2016
50251,11-06-2016,California,Panorama City,8500 block of Cedros Avenue,3,2,5,201606,2016
50216,30-06-2016,Illinois,Chicago,9500 block of South Loomis Street,1,4,5,201606,2016
50217,29-06-2016,Nevada,Las Vegas,6100 block of West Lake Mead Boulevard,5,0,5,201606,2016
50257,5-06-2016,Florida,Cape Coral,2600 block of Skyline Boulevard S,3,3,6,201606,2016
50223,26-06-2016,Georgia,Atlanta,1500 block of Moreland Avenue SE,1,4,5,201606,2016
50258,5-06-2016,Arizona,Phoenix,8152 N Black Canyon Hwy,2,4,6,201606,2016
50230,24-06-2016,Connecticut,Hartford,Brook and Winter Street,0,5,5,201606,2016
50246,12-06-2016,Florida,Orlando,1912 S Orange Ave,50,53,103,201606,2016
50226,25-06-2016,Texas,Fort Worth,2466 East Lancaster Avenue,2,5,7,201606,2016
50245,13-06-2016,Illinois,Chicago,3200 block of West Congress,0,5,5,201606,2016
50222,26-06-2016,North Carolina,Charlotte,2240 Camp Greene St,0,5,5,201606,2016
50233,22-06-2016,Georgia,Dekalb (county),Lancashire Drive and Central Drive,1,4,5,201606,2016
50231,24-06-2016,Maryland,District Heights,3100 block of Orleans Ave,3,2,5,201606,2016
50244,13-06-2016,New York,Brooklyn,Avenue D and E. 57th,0,5,5,201606,2016
50182,22-07-2016,Illinois,Kankakee,300 block of North Wildwood Avenue,0,5,5,201607,2016
50168,31-07-2016,Texas,Austin,208 E 6th St,1,4,5,201607,2016
50169,30-07-2016,Missouri,Saint Louis,5000 block of Kensington Ave,0,5,5,201607,2016
50172,29-07-2016,Georgia,Athens,Trail Creek St,0,7,7,201607,2016
50173,28-07-2016,New York,Elmira,303 College Ave,0,5,5,201607,2016
50176,25-07-2016,Florida,Fort Myers,3580 Evans Ave,2,19,21,201607,2016
50177,24-07-2016,Ohio,Hamilton,1555 Main St,1,7,8,201607,2016
50181,23-07-2016,Texas,Bastrop,202 Childers Drive,4,1,5,201607,2016
50171,30-07-2016,Georgia,Townsend (Eulonia),14699 Highway 17,0,5,5,201607,2016
50188,2017-07-2016,Louisiana,Baton Rouge,9611 Airline Hwy,4,3,7,201607,2016
50189,2016-07-2016,Texas,Dallas,6300 block of Benavides Drive,0,5,5,201607,2016
50214,3-07-2016,Louisiana,Monroe,401 Lea Joyner Memorial Expy,2,3,5,201607,2016
50213,4-07-2016,Arizona,Phoenix,4000 block of West Southern Avenue,2,6,8,201607,2016
50209,4-07-2016,Texas,Houston,1312 Robin,3,2,5,201607,2016
50183,21-07-2016,Illinois,Chicago,4400 block of South Leamington,0,5,5,201607,2016
50208,4-07-2016,New York,Brooklyn,419 Chauncey St,0,7,7,201607,2016
50206,7-07-2016,Tennessee,Bristol,536 Volunteer Pkwy,1,4,5,201607,2016
50191,2016-07-2016,California,Bakersfield,621 Stephens Dr,1,14,15,201607,2016
50203,11-07-2016,Michigan,Saint Joseph,811 Port St,3,2,5,201607,2016
50200,11-07-2016,Maryland,Baltimore,1800 block of W. North Avenue,0,5,5,201607,2016
50190,2016-07-2016,Ohio,Cleveland,5000 block of Euclid Avenue,0,5,5,201607,2016
50193,2016-07-2016,Tennessee,Clarksville,1348 College Street,0,6,6,201607,2016
50198,13-07-2016,Georgia,Warner Robins,105 Magnolia Avenue,0,5,5,201607,2016
50205,7-07-2016,Texas,Dallas,800 Main St,5,9,14,201607,2016
50128,29-08-2016,New Jersey,Egg Harbor City,907 White Horse Pike,1,5,6,201608,2016
50132,28-08-2016,Alabama,Dadeville,512 E Columbus St,0,5,5,201608,2016
50133,27-08-2016,Alabama,Bessemer (Brighton),3810 7th Ave,1,6,7,201608,2016
50129,28-08-2016,Texas,Lubbock,2200 block of 17th St,0,6,6,201608,2016
50135,25-08-2016,New Jersey,Bridgeton,Marion Street,0,5,5,201608,2016
50137,21-08-2016,Connecticut,Bridgeport,19 Plymouth St,0,13,13,201608,2016
50139,20-08-2016,Washington,Tacoma,900 block of Pacific Avenue,0,5,5,201608,2016
50140,20-08-2016,Alabama,Citronelle,Jim Platt Road,5,0,5,201608,2016
50144,2014-08-2016,Minnesota,Minneapolis,1717 Plymouth Ave N,0,5,5,201608,2016
50154,8-08-2016,Florida,Jacksonville,1214 Labelle St,0,7,7,201608,2016
50160,6-08-2016,Pennsylvania,Reading (Sinking Spring),51 Winding Brook Drive,5,0,5,201608,2016
50134,27-08-2016,Florida,Miami,1900 block of NW 83rd Terr,2,4,6,201608,2016
50104,2017-09-2016,Florida,Miami,20582 SW 119th Ave,0,6,6,201609,2016
50097,26-09-2016,Texas,Houston,5450 Weslayan St,1,6,7,201609,2016
50099,24-09-2016,Maryland,Baltimore,Greenmount Ave and Preston St,0,8,8,201609,2016
50100,23-09-2016,Washington,Burlington,201 Cascade Mall Dr,5,0,5,201609,2016
50105,2017-09-2016,Florida,Orlando,3918 Columbia St,1,6,7,201609,2016
50113,11-09-2016,Missouri,Kansas City,500 block of Westport Rd,0,6,6,201609,2016
50109,2016-09-2016,Pennsylvania,Philadelphia,5100 block of Sansom St,2,5,7,201609,2016
50111,13-09-2016,Indiana,Fort Wayne,1723 E Wayne St,3,2,5,201609,2016
50112,11-09-2016,Louisiana,New Orleans,2349 S Claiborne Ave,1,5,6,201609,2016
50114,11-09-2016,Michigan,Saginaw,2207 Pierce Road,0,5,5,201609,2016
50115,11-09-2016,North Carolina,New Bern,1100 block of Highway 70,0,5,5,201609,2016
50120,8-09-2016,Arkansas,Hot Springs National Park (Hot Springs),300 block of Lacey St,1,4,5,201609,2016
50121,5-09-2016,Illinois,Chicago,2700 block of W Lexington Ave,2,3,5,201609,2016
50123,4-09-2016,Virginia,Roanoke,1020 Orange Ave NE,1,10,11,201609,2016
50107,2017-09-2016,District of Columbia,Washington,2600 block of Birney Place SE,2,7,9,201609,2016
