Incident_ID,Incident Date,State,City Or County,Address,# Killed,# Injured
60224,7-May-17,Illinois,Chicago,2600 block of 46th Pl,2,8
60225,4-May-17,Michigan,Flint,600 block of Copeman Boulevard,1,3
60226,2-May-17,Florida,Jacksonville,1566 West 24th Street,1,3
60227,1-May-17,Texas,Dallas,3200 block of Reynolds Ave,2,3
60228,30-Apr-17,California,San Diego,9080 Judicial Dr,2,6
60229,30-Apr-17,Kansas,Topeka,4104 SW 28th,4,1
60230,30-Apr-17,Florida,Jacksonville,1200 Ken Knight Dr N,0,5
60231,30-Apr-17,South Carolina,Loris,268 N Sea Green Rd,1,5
60232,29-Apr-17,California,Los Angeles (Boyle Heights),Murchison St and Lancaster Ave,1,3
60233,29-Apr-17,California,Sacramento,3800 block of 26th Avenue,0,5
60234,29-Apr-17,California,Whittier,10000 block of Carmentia Rd,1,5
60235,29-Apr-17,Maryland,Germantown,12839 Kitchen House Way,1,3
60236,29-Apr-17,California,Compton,2000 Block of N Nestor Ave,0,4
60237,29-Apr-17,Virginia,Virginia Beach,200 block of 18th St,0,4
60238,28-Apr-17,Pennsylvania,Chester,5 E 21st St,0,4
60239,27-Apr-17,New Jersey,Newark,1100 block of S Orange Ave,1,3
60240,26-Apr-17,Florida,Miami,SW 264th St and 139th Ave,0,4
60241,21-Apr-17,Florida,Palm Bay,2500 block of Vernon Dr,2,2
60242,20-Apr-17,Kentucky,Louisville,700 block of East Jacob Street,0,4
60243,16-Apr-17,California,Vallejo,110 Calhoun Street,0,4
60244,16-Apr-17,North Carolina,Elizabeth City,611 S Martin St,0,4
60245,16-Apr-17,Ohio,Columbus,1710 Cleveland Av,0,9
60246,15-Apr-17,Illinois,Rock Falls,311 W  2nd St,0,4
60247,15-Apr-17,Pennsylvania,Philadelphia,5900 block of Hammond St,0,4
60248,15-Apr-17,Indiana,Indianapolis,300 block of S Meridian St,0,4
60249,15-Apr-17,Alabama,Birmingham,1480 Center Point Pkwy,0,6
60250,15-Apr-17,Illinois,Harvey,14600 block of Myrtle Avenue,0,4
60251,15-Apr-17,California,Banning,900 block of N Allen St,0,4
60252,13-Apr-17,Georgia,Atlanta,30 Anderson Ave SW,1,3
60253,9-Apr-17,Texas,San Antonio,3100 block of Fidelia Drive,1,3
60254,9-Apr-17,Indiana,Fort Wayne,9439 Lima Rd,1,3
60255,7-Apr-17,North Carolina,Hickory,1423 29th Ave Dr NE,3,1
60256,7-Apr-17,Texas,Houston,3829 Mount Pleasant St,5,0
60257,7-Apr-17,Minnesota,Saint Paul,1600 block of English St,4,1
60258,7-Apr-17,Illinois,Chicago,5600 block of W Lake St,1,5
60259,6-Apr-17,Louisiana,Lake Charles,2000 block of Tulip St,1,3
60260,3-Apr-17,Pennsylvania,Philadelphia,1100 block of W Stiles St,3,1
60261,3-Apr-17,Texas,Lubbock,5401 Ave Q,0,7
60262,2-Apr-17,Illinois,Chicago,3500 block of W Van Buren St,2,4
60263,2-Apr-17,Iowa,Des Moines,2500 Martin Luther King Jr. Parkway,0,5
60264,1-Apr-17,California,Pittsburg,100 block of Madoline Street,0,5
60265,1-Apr-17,Florida,Tampa,219 S Howard Ave,1,4
60266,1-Apr-17,Oklahoma,Oklahoma City,1200 block of N Woodward Avenue,2,3
60267,30-Mar-17,Illinois,Chicago,2704 E 75th St,4,0
60268,27-Mar-17,Florida,Sanford,209 Hays Dr,2,4
60269,26-Mar-17,Ohio,Cleveland,E 75th St,2,2
60270,26-Mar-17,Texas,Houston,5619 Aldine Bender Rd,2,4
60271,26-Mar-17,Ohio,Cincinnati,4601 Kellogg Ave,2,15
60272,25-Mar-17,Tennessee,Knoxville,Minnesota Ave,1,4
60273,25-Mar-17,Michigan,Detroit,8443 Grand River Ave,1,3
60274,25-Mar-17,Ohio,Cleveland,E 79th St and Woodland Ave,2,2
60275,24-Mar-17,California,Fresno,300 block of South Villa Avenue,1,4
60276,24-Mar-17,Missouri,Saint Louis,5100 block of Palm St,1,6
60277,22-Mar-17,Wisconsin,Rothschild,1133 E Grand Ave,5,0
60278,19-Mar-17,Kentucky,Louisville,1512 Portland Avenue,1,5
60279,18-Mar-17,Michigan,Detroit,16000 block of Rutherford,3,2
